what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455871685412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455871701338
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1455871701338
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455871702870
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1455871708208
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1455871708208
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1455871708224
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1455871708224
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1455871708271
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1455871708318
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1455871711271
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1455871715008
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1455871715040
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1455871718642
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1455871718679
started,bundle,com.android.ide.eclipse.ndk,23.0.7.2120684,"com.android.ide.eclipse.ndk",1455871718735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455871718954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455871721261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455871721308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455871722418
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455871722433
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1455871722464
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455871729818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455871732553
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1455871733893
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1455871734099
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1455871734161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455871734333
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1455871734364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1455871734364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455871739677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455871741567
